Company Name,Website (Email Domain),Employee Size,Address (Company),Country,Email (Company),Phone Number (Company),Linkedin (company),First Name,Last Name,Title,Email (decision maker),Linkedin (decision maker),Phone Number (decision maker)
ChartMogul,chartmogul.com,51-200,,,,,https://www.linkedin.com/company/chartmogul/,Mariam,Hakobyan,Co-founder and CEO,,https://www.linkedin.com/in/mariam-hakobyan-1b2b1a1a/,
ChurnZero,churnzero.com,,,,pr@churnzero.com,,,,,,,,
CitrusAd,citrusad.com,201-500,"116 Adelaide St, Brisbane, Queensland, 4000, Australia",Australia,,+61 6506663406,,,,,,,
CJ Affiliate,cj.com,1001-5000,"530 East Montecito Street, Santa Barbara, California 93103 US",United States,,,,,,,,,
CleverTap,clevertap.com,,,,,,,Sunil,Thomas,"Co-founder, Chairman",,,
ClickHouse,clickhouse.com,201-500,,United States,,,https://www.linkedin.com/company/clickhouse/,,,,,,
ClickUp,clickup.com,500+,,,,,,,,,,,
ClientSuccess,clientsuccess.com,,,,,,,,,,,,
,,,,,,,,,,,,,
Cockroach Labs,cockroachlabs.com,201-500,"125 West 25th Street, 11th Floor, New York, NY 10001",United States,,,https://www.linkedin.com/company/cockroach-labs/,,,,,,
